city,state_id,state_code
Jamalpur,4037,BR
Jamui,4037,BR
Jaynagar,4037,BR
Jehanabad,4037,BR
Jha-Jha,4037,BR
Jhanjharpur,4037,BR
Jogbani,4037,BR
Kaimur District,4037,BR
Kasba,4037,BR
Katihar,4037,BR
Khagaria,4037,BR
Khagaul,4037,BR
Kharagpur,4037,BR
Khusropur,4037,BR
Kishanganj,4037,BR
Koath,4037,BR
Koelwar,4037,BR
Lakhisarai,4037,BR
Lalganj,4037,BR
Luckeesarai,4037,BR
Madhepura,4037,BR
Madhubani,4037,BR
Maharajgani,4037,BR
Mairwa,4037,BR
Maner,4037,BR
Manihari,4037,BR
Marhaura,4037,BR
Masaurhi Buzurg,4037,BR
Mohiuddi nagar,4037,BR
Mokameh,4037,BR
Monghyr,4037,BR
Mothihari,4037,BR
Munger,4037,BR
Murliganj,4037,BR
Muzaffarpur,4037,BR
Nabinagar,4037,BR
Nalanda,4037,BR
Nasriganj,4037,BR
Naugachhia,4037,BR
Nawada,4037,BR
Nirmali,4037,BR
Pashchim Champaran,4037,BR
Patna,4037,BR
Piro,4037,BR
Pupri,4037,BR
Purba Champaran,4037,BR
Purnia,4037,BR
Rafiganj,4037,BR
Raghunathpur,4037,BR
Rajgir,4037,BR
Ramnagar,4037,BR
Raxaul,4037,BR
Revelganj,4037,BR
Rohtas,4037,BR
Rusera,4037,BR
Sagauli,4037,BR
Saharsa,4037,BR
Samastipur,4037,BR
Saran,4037,BR
Shahbazpur,4037,BR
Shahpur,4037,BR
Sheikhpura,4037,BR
Sheohar,4037,BR
Sherghati,4037,BR
Silao,4037,BR
Sitamarhi,4037,BR
Siwan,4037,BR
Supaul,4037,BR
Teghra,4037,BR
Tekari,4037,BR
Thakurganj,4037,BR
Vaishali,4037,BR
Waris Aliganj,4037,BR
Chandigarh,4031,CH
Akaltara,4040,CT
Ambagarh Chauki,4040,CT
Ambikapur,4040,CT
Arang,4040,CT
Baikunthpur,4040,CT
Balod,4040,CT
Baloda,4040,CT
Baloda Bazar,4040,CT
Basna,4040,CT
Bastar,4040,CT
Bemetara,4040,CT
Bhanpuri,4040,CT
Bhatapara,4040,CT
Bhatgaon,4040,CT
Bhilai,4040,CT
Bijapur,4040,CT
Bilaspur,4040,CT
Champa,4040,CT
Chhuikhadan,4040,CT
Dantewada,4040,CT
Deori,4040,CT
Dhamtari,4040,CT
Dongargaon,4040,CT
Dongargarh,4040,CT
Durg,4040,CT
Gandai,4040,CT
Gariaband,4040,CT
Gaurela,4040,CT
Gharghoda,4040,CT
Gidam,4040,CT
Jagdalpur,4040,CT
Janjgir,4040,CT
Janjgir-Champa,4040,CT
Jashpur,4040,CT
Jashpurnagar,4040,CT
Junagarh,4040,CT
Kabeerdham,4040,CT
Kanker,4040,CT
Katghora,4040,CT
Kawardha,4040,CT
Khairagarh,4040,CT
Khamharia,4040,CT
Kharod,4040,CT
Kharsia,4040,CT
Kirandul,4040,CT
Kondagaon,4040,CT
Korba,4040,CT
Koria,4040,CT
Kota,4040,CT
Kotaparh,4040,CT
Kumhari,4040,CT
Kurud,4040,CT
Lormi,4040,CT
Mahasamund,4040,CT
Mungeli,4040,CT
Narayanpur,4040,CT
Narharpur,4040,CT
Pandaria,4040,CT
Pandatarai,4040,CT
Pasan,4040,CT
Patan,4040,CT
Pathalgaon,4040,CT
Pendra,4040,CT
Pithora,4040,CT
Raigarh,4040,CT
Raipur,4040,CT
Raj Nandgaon,4040,CT
Ramanuj Ganj,4040,CT
Ratanpur,4040,CT
Sakti,4040,CT
Saraipali,4040,CT
Sarangarh,4040,CT
Seorinarayan,4040,CT
Simga,4040,CT
Surguja,4040,CT
Takhatpur,4040,CT
Umarkot,4040,CT
Uttar Bastar Kanker,4040,CT
Amli,4033,DH
Dadra,4033,DH
Dadra & Nagar Haveli,4033,DH
Daman,4033,DH
Diu,4033,DH
Silvassa,4033,DH
Alipur,4021,DL
Bawana,4021,DL
Central Delhi,4021,DL
Delhi,4021,DL
Deoli,4021,DL
East Delhi,4021,DL
Karol Bagh,4021,DL
Najafgarh,4021,DL
Nangloi Jat,4021,DL
Narela,4021,DL
New Delhi,4021,DL
North Delhi,4021,DL
North East Delhi,4021,DL
North West Delhi,4021,DL
Pitampura,4021,DL
Rohini,4021,DL
South Delhi,4021,DL
South West Delhi,4021,DL
West Delhi,4021,DL
Aldona,4009,GA
Arambol,4009,GA
Baga,4009,GA
Bambolim,4009,GA
Bandora,4009,GA
Benaulim,4009,GA
Calangute,4009,GA
Candolim,4009,GA
Carapur,4009,GA
Cavelossim,4009,GA
Chicalim,4009,GA
Chinchinim,4009,GA
Colovale,4009,GA
Colva,4009,GA
Cortalim,4009,GA
Cuncolim,4009,GA
Curchorem,4009,GA
Curti,4009,GA
Davorlim,4009,GA
Dicholi,4009,GA
Goa Velha,4009,GA
Guirim,4009,GA
Jua,4009,GA
Kankon,4009,GA
Madgaon,4009,GA
Mapuca,4009,GA
Morjim,4009,GA
Mormugao,4009,GA
Navelim,4009,GA
North Goa,4009,GA
Palle,4009,GA
Panaji,4009,GA
Pernem,4009,GA
Ponda,4009,GA
Quepem,4009,GA
Queula,4009,GA
Raia,4009,GA
Saligao,4009,GA
Sancoale,4009,GA
Sanguem,4009,GA
Sanquelim,4009,GA
Sanvordem,4009,GA
Serula,4009,GA
Solim,4009,GA
South Goa,4009,GA
Taleigao,4009,GA
Vagator,4009,GA
Valpoy,4009,GA
Varca,4009,GA
Vasco da Gama,4009,GA
Abrama,4030,GJ
Adalaj,4030,GJ
Agol,4030,GJ
Ahmedabad,4030,GJ
Ahwa,4030,GJ
Akrund,4030,GJ
Amod,4030,GJ
Amreli,4030,GJ
Amroli,4030,GJ
Anand,4030,GJ
Anjar,4030,GJ
Ankleshwar,4030,GJ
Babra,4030,GJ
Bagasara,4030,GJ
Bagasra,4030,GJ
Bakharla,4030,GJ
Balagam,4030,GJ
Balasinor,4030,GJ
Balisana,4030,GJ
Bamanbore,4030,GJ
Banas Kantha,4030,GJ
Bandia,4030,GJ
Bantva,4030,GJ
Bardoli,4030,GJ
Bavla,4030,GJ
Bedi,4030,GJ
Bhachau,4030,GJ
Bhadran,4030,GJ
Bhandu,4030,GJ
Bhanvad,4030,GJ
Bharuch,4030,GJ
Bhatha,4030,GJ
Bhavnagar,4030,GJ
Bhayavadar,4030,GJ
Bhildi,4030,GJ
Bhojpur Dharampur,4030,GJ
Bhuj,4030,GJ
Bilimora,4030,GJ
Bilkha,4030,GJ
Borsad,4030,GJ
Botad,4030,GJ
Chaklasi,4030,GJ
